Filing Date,Last Hearing Date,Description,Judge,Current High Court,IPC Section,Degree of Alleged Perpetrator,days,Random Priority,
08-03-2017,30-07-2017,"Mischief by destroying or moving, etc, a land- mark fixed by public authority",Ahsanuddin Amanullah,Andhra Pradesh,Section 434,5,144,1,
30-01-2020,29-06-2020,Punishment for kidnapping,Rajeev Kumar Shrivastava,Madhya Pradesh,Section 363,4,151,15,
24-01-2017,03-02-2018,"Assault or criminal force with intent to dishonour person, otherwise than on grave provocation",Goutam Bhaduri,Chhattisgarh,Section 355,3,375,1,
28-11-2017,26-12-2017,Having possession of instrument or material for counterfeiting Government stamp,Devendra Kachhawaha,Rajasthan,Section 256,1,28,7,
04-10-2019,03-02-2020,Punishment for assault or criminal force otherwise than on grave provocation,Chakradhari Sharan Singh,Patna,Section 352,3,122,5,
23-03-2017,05-05-2018,Imprisonment for non-payment of fine when offence punishable with fine only,Rajeev Kumar Dubey,Madhya Pradesh,Section 67,2,408,2,
16-05-2019,13-08-2020,Liability of agent of owner of occupier for whose benefit riot is committed,Alok Mathur,Allahabad,Section 156,5,455,11,
31-05-2018,06-08-2018,Forgery for purpose of cheating,Engalaguppe Seetharamaiah Indiresh,Karnataka,Section 468,1,67,3,
23-07-2017,08-11-2017,Public servant negligently suffering such prisoner to escape,Rongon Mukhopadhyay,Jharkhand,Section 129,2,108,3,
12-07-2019,30-07-2020,Act done in good faith for benefit of a person without consent,Fateh Deep Singh,Punjab and Haryana,Section 92,4,384,18,
28-03-2019,31-07-2019,When such right extends to causing any harm other than death,Alok Kumar Verma,Uttarakhand,Section 104,1,125,7,
17-12-2019,13-07-2020,"Delivery of coin, possessed with knowledge that it is altered",D. Bharatha Chakravarthy,Madras,Section 250,1,209,12,
04-11-2019,15-01-2021,Robbery,Deepak Kumar Tiwari,Chhattisgarh,Section 390,1,438,17,
16-12-2017,24-07-2018,Illegal purchase or bid for property offered for sale by authority of public servant,Karunesh Singh Pawar,Allahabad,Section 185,1,220,11,
15-07-2017,10-09-2018,Robbery,Puthichira Sam Koshy,Chhattisgarh,Section 390,4,422,3,
04-11-2018,25-07-2019,Public servant unlawfully buying or bidding for property,Mruganka Sekhar Sahoo,Orissa,Section 169,5,263,6,
13-07-2017,14-08-2017,Punishment for wrongful restraint,Ilangovan Ganesan,Madras,Section 341,5,32,2,
16-05-2017,25-09-2017,Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple,Sudhir Mittal,Punjab and Haryana,Section 60,4,132,1,
20-12-2018,15-12-2019,"Delivery of coin as genuine, which, when first possessed, the deliverer did not know to be altered",Nawneet Kumar Pandey,Patna,Section 254,1,360,16,
04-04-2018,05-11-2018,Public servant farming an incorrect document with intent to cause injury,Arun Dev Choudhury,Gauhati,Section 167,3,215,8,
20-07-2019,17-12-2019,Punishment for culpable homicide not amounting to murder,Amar Nath (Kesharwani),Madhya Pradesh,Section 304,5,150,7,
28-08-2018,11-06-2019,Right of private defence against deadly assault when there is risk of harm to innocent person,Bhargav Dhirenbhai Karia,Gujarat,Section 106,1,287,7,
15-08-2017,24-02-2018,Making or possession of any instrument for counterfeiting a property mark,Chandra Dhari Singh,Delhi,Section 485,1,193,2,
25-01-2018,08-03-2019,House-breaking by night,Pushpa Virendra Ganediwala,Bombay,Section 446,1,407,8,
31-12-2018,09-05-2019,Concealing with intent to facilitate design to wage war,Mallavolu Satyanarayana Murthy,Andhra Pradesh,Section 123,4,129,4,
08-06-2019,26-02-2020,False charge of offence made with intent to injure,Sathi Kumar Sukumara Kurup,Madras,Section 211,2,263,18,
06-06-2017,21-09-2017,Causing grievous hurt by act endangering life or personal safety of others,Dr. Hosur Bhujangaraya Prabhakara Sastry,Karnataka,Section 338,3,107,1,
26-09-2017,29-01-2018,"Abetment of act of insubordination by soldier, sailor or airman",Sanjeev Prakash Sharma,Patna,Section 138,3,125,1,
22-11-2019,09-08-2020,Limit of punishment of offence made up of several offences,Krishnan Ramasmy,Madras,Section 71,4,261,13,
17-10-2017,10-08-2018,Mischief by fire or explosive substance with intent to cause damage to amount of one hundred or (in case of agricultural produce) ten rupees,Soumen Sen,Calcutta,Section 435,4,297,5,
26-02-2020,26-04-2020,Negligent conduct with respect to animal,Dinesh Pathak,Allahabad,Section 289,1,60,6,
20-09-2019,25-01-2021,Cheating with knowledge that wrongful loss may ensue to person whose interest offender is bound to protect,Dhirubhai Naranbhai Patel (CJ),Delhi,Section 418,3,493,15,
04-09-2018,08-11-2019,Stalking,Jayant Banerji,Allahabad,Section 354 D,1,430,7,
30-04-2017,03-10-2017,Act endangering life or personal safety of others,Sujit Narayan Prasad,Jharkhand,Section 336,2,156,1,
27-09-2017,03-06-2018,Threat of injury to induce person to refrain from applying for protection to public servant,Arindam Mukherjee,Calcutta,Section 190,4,249,3,
29-01-2018,23-10-2018,Failure to keep election accounts,Krushna Ram Mohapatra,Orissa,Section 171I,1,267,6,
03-06-2017,07-08-2018,Breach of contract to serve at distant place to which servant is conveyed at master’s expense,Manju Rani Chauhan,Allahabad,Section 492,5,430,5,
14-03-2017,18-05-2018,Dacoity,Ananthi Subramanian,Madras,Section 391,2,430,4,
27-12-2019,23-07-2020,Counterfeiting currency-notes or bank-notes,Ramesh Sinha,Allahabad,Section 489A,2,209,15,
13-05-2017,18-07-2018,All persons jointly concerned in lurking house-trespass or house-breaking by night punishable where death or grievous hurt caused by one of them,Guhanathan Narendar,Karnataka,Section 460,3,431,4,
20-04-2018,16-07-2018,"Omission to apprehend, or sufferance of escape, on part of public servant, in cases not otherwise, provided for",Paresh Ravishankar Upadhyay,Madras,Section 225A,5,87,2,
05-06-2019,28-09-2019,"Act not intended and not known to be likely to cause death or grievous hurt, done by consent",Padmaraj Balakrishnannair Suresh Kumar,Kerala,Section 87,1,115,9,
24-07-2017,05-12-2018,Failure to keep election accounts,Karunakaran Nair Haripal,Kerala,Section 171I,2,499,6,
11-08-2018,17-07-2019,"Right of private defence against the act of a person of unsound mind, etc",Kannakuzhyil Sreedharan Hemalekha,Karnataka,Section 98,1,340,12,
05-02-2018,28-08-2018,"Buying minor for purposes of prostitution, etc",M. Govindaraj,Madras,Section 373,3,204,3,
12-03-2020,07-12-2020,Making or selling instrument for counterfeiting coin,Ashutosh Srivastava,Allahabad,Section 233,5,270,6,
29-09-2019,02-03-2020,Resistance or obstruction by a person to his lawful apprehension,Neena Bansal Krishna,Delhi,Section 224,2,155,10,
01-03-2019,29-10-2019,Harbouring offender who has escaped from custody or whose apprehension has been ordered,Ali Zamin,Allahabad,Section 216,1,242,12,
19-07-2018,18-06-2019,Dowery death,Amit Rawal,Kerala,Section 304B,1,334,7,
21-03-2018,26-05-2019,Being in possession of false weight or measure,Ananda Sen,Jharkhand,Section 266,5,431,8,
16-10-2019,11-09-2020,Abetment of a thing,S. S. Sundar,Madras,Section 107,5,331,9,
12-07-2018,28-09-2018,Resistance or obstruction by a person to his lawful apprehension,R. Tharani,Madras,Section 224,4,78,7,
15-05-2017,18-03-2018,Tampering with property mark with intent to cause injury,Hiranmay Bhattacharyya,Calcutta,Section 489,4,307,1,
24-10-2017,22-01-2019,Sexual harassment,Anup Jairam Bhambhani,Delhi,Section 354 A,1,455,9,
21-05-2017,27-11-2017,Abetment in India of offences outside India,Rajnish Bhatnagar,Delhi,Section 108A,1,190,1,
16-10-2019,11-09-2020,Criminal force,V. Narasingh,Orissa,Section 350,2,331,14,
28-02-2019,03-05-2019,"Delivery of Indian coin, possessed with knowledge that it is altered",Umesh Kumar,Allahabad,Section 251,4,64,10,
06-10-2019,25-01-2020,Unlawfully taking coining instrument from mint,Avneesh Jhingan,Punjab and Haryana,Section 245,4,111,7,
31-10-2017,16-12-2017,Transportation instead of imprisonment,Vishal Mishra,Madhya Pradesh,Section 59,3,46,3,
03-12-2017,25-10-2018,Punishment for criminal intimidation,Tirthankar Ghosh,Calcutta,Section 506,5,326,5,
08-06-2018,31-08-2019,Robbery,Shekhar Kumar Yadav,Allahabad,Section 390,1,449,10,
05-01-2019,09-02-2019,Solitary confinement,Manoj Kumar Tiwari,Uttarakhand,Section 73,5,35,10,
25-10-2018,28-12-2018,Dishonest or fraudulent execution of deed of transfer containing false statement of consideration,Farjand Ali,Rajasthan,Section 423,4,64,7,
09-03-2019,02-01-2020,Punishment for wrongful restraint,Shampa Sarkar,Calcutta,Section 341,5,299,21,
24-11-2018,18-12-2018,"Wrongful confinement to extort confession, or compel restoration of property",Karunakaran Babu,Kerala,Section 348,2,24,8,
30-04-2017,26-10-2017,Public servant negligently suffering such prisoner to escape,Rajendra Kumar (Verma),Madhya Pradesh,Section 129,4,179,2,
29-07-2018,01-07-2019,Lurking house-trespass,Manmohan,Delhi,Section 443,3,337,4,
09-03-2018,19-05-2019,Lurking house-trespass,Rajan Roy,Allahabad,Section 443,4,436,11,
10-05-2017,12-06-2018,"Delivery of coin, possessed with knowledge that it is altered",Sanjay Ganpatrao Mehare,Bombay,Section 250,1,398,5,
06-12-2018,06-01-2019,"Making or possessing counterfeit seal, etc, with intent to commit forgery punishable otherwise",Anil Kshetarpar,Punjab and Haryana,Section 473,2,31,11,
24-01-2017,31-12-2017,Counterfeiting coin,Annireddy Abhishek Reddy,Telangana,Section 231,2,341,1,
19-02-2019,27-05-2020,Punishment for defamation,Guhanathan Narendar,Karnataka,Section 500,1,463,8,
22-01-2018,16-11-2018,Punishment of criminal conspiracy,V. Parthiban,Madras,Section 120B,2,298,4,
07-10-2019,13-04-2020,Abetment of suicide,Satyavrat Verma,Patna,Section 306,5,189,10,
01-10-2017,18-01-2018,"Voluntarily causing grievous hurt to extort property, or to constrain to an illegal act",Mahendar Kumar Goyal,Rajasthan,Section 329,5,109,1,
05-01-2017,19-04-2017,Punishment for voluntarily causing hurt,Ilesh Jashvantrai Vora,Gujarat,Section 323,4,104,2,
02-02-2017,07-11-2017,Punishment for criminal intimidation,Devendra Kachhawaha,Rajasthan,Section 506,2,278,6,
07-12-2018,04-04-2019,Counterfeiting Indian coin,Amit Bhalchandra Borkar,Bombay,Section 232,5,118,11,
03-05-2017,20-07-2018,Persons subject to certain Acts,Kannakuzhyil Sreedharan Hemalekha,Karnataka,Section 139,4,443,7,
01-01-2019,24-12-2019,Destruction of document or electronic record to prevent its production as sevidence,Arvind Singh Sangwan,Punjab and Haryana,Section 204,2,357,12,
13-01-2017,21-03-2017,"Theft in dwelling house, etc",Vibha Vasant Kankanwadi,Bombay,Section 380,5,67,1,
28-07-2018,14-03-2019,Causing miscarriage,Ratnaker Bhengra,Jharkhand,Section 312,1,229,12,
14-12-2019,29-03-2021,Extortion,Rajendra Chandra Singh Samant,Chhattisgarh,Section 383,1,471,13,
09-04-2018,19-01-2019,Fraudulently or dishonestly diminishing weight or altering composition of coin,Gurpal Singh Ahluwalia,Madhya Pradesh,Section 246,5,285,6,
27-07-2017,10-04-2018,Knowingly joining or continuing in assembly of five or more persons after it has been commanded to disperse,Dr. Kauser Edappagath,Kerala,Section 151,5,257,5,
26-04-2018,10-03-2019,Punishment for kidnapping,Nelson Sailo,Gauhati,Section 363,2,318,5,
02-03-2017,14-05-2017,Punishment for criminal trespass,Dr. Ashutosh Pushkerray Thaker,Gujarat,Section 447,3,73,1,
26-10-2017,30-06-2018,Liability of abettor for an effect caused by the act abetted different from that intended by the abettor,M. S. Ramachandra Rao,Punjab and Haryana,Section 113,1,247,8,
29-06-2017,29-05-2018,"Fine levied within six years, or during imprisonment- Death not to discharge property from liability",D. Krishnakumar,Madras,Section 70,5,334,3,
07-08-2017,12-10-2018,Liability of agent of owner of occupier for whose benefit riot is committed,Dr. Ashokkumar Chimanlal Joshi,Gujarat,Section 156,1,431,5,
27-03-2018,07-10-2018,Personation at elections,Sanjay Kumar Dwivedi,Jharkhand,Section 171D,2,194,4,
16-08-2018,13-12-2018,Negligent conduct with respect to pulling down or repairing buildings,Aniruddha Roy,Calcutta,Section 288,3,119,6,
19-05-2018,14-07-2019,Possession of counterfeit coin by person who knew it to be counterfeit when he became possessed thereof,Rajesh Bindal (CJ),Allahabad,Section 242,1,421,11,
14-09-2017,01-06-2018,"Counterfeiting device or mark used for authenticating documents described in Section 467, or possessing counterfeit marked material",Sanjay Kumar,Patna,Section 475,1,260,5,
29-07-2018,31-08-2019,Rioting,Wanlura Diengdoh,Meghalaya,Section 146,1,398,9,
01-04-2017,18-11-2017,Punishment for lurking house-trespass or house-breaking,Harsimran Singh Sethi,Punjab and Haryana,Section 453,1,231,3,
28-04-2019,26-12-2019,"Voluntarily causing grievous hurt to extort confession, or to compel restoration of property",Sangam Kumar Sahoo,Orissa,Section 331,4,242,11,
18-03-2017,19-07-2017,Criminal force,Sarang Vijaykumar Kotwal,Bombay,Section 350,4,123,1,
14-04-2019,24-09-2019,Negligent conduct with respect to machinery,Chandrasekharan Kartha Jayachandran,Kerala,Section 287,4,163,10,
12-12-2018,19-09-2019,Dishonest misappropriation of property,Patlolla Madhavi Devi,Telangana,Section 403,4,281,10,
25-09-2019,04-08-2020,Kidnapping or abducting child under ten years with intent to steal from its person,Bibek Chowdhury,Calcutta,Section 369,2,314,13,
30-06-2018,02-08-2019,Altering appearance of coin with intent that it shall pass as coin of different description,Saturghana Pujahari,Orissa,Section 248,1,398,5,
01-04-2018,01-10-2018,Abduction,Tarlok Singh Chauhan,Himachal Pradesh,Section 362,5,183,2,
25-03-2019,11-05-2020,Causing hurt by act endangering life or personal safety of others,S. S. Sundar,Madras,Section 337,1,413,8,
05-04-2017,07-06-2017,Counterfeiting coin,Dhiraj Singh Thakur,Jammu & Kashmir and Ladakh,Section 231,5,63,2,
12-10-2019,01-11-2020,Harbouring offender,Panzhayanur Narayanan Prakash,Madras,Section 212,4,386,20,
03-04-2017,05-04-2018,Voluntarily causing hurt by dangerous weapons or means,Ajay Mohan Goel,Himachal Pradesh,Section 324,2,367,4,
23-10-2017,20-12-2018,Public servant voluntary allowing prisoner of State or war to escape,Navin Chawla,Delhi,Section 128,2,423,5,
25-11-2019,03-05-2020,Offenders sentenced to transportation how dealt with until transported,Rajesh Kumar Verma,Patna,Section 58,4,160,11,
02-01-2019,22-04-2019,Sentence of forfeiture of property,Jasgurpreet Singh Puri,Punjab and Haryana,Section 61,4,110,8,
09-04-2020,31-05-2020,Theft,Nirzarkumar Sushilkumar Desai,Gujarat,Section 378,2,52,13,
03-04-2019,10-11-2019,"Kidnapping, abducting or inducing woman to compel her marriage, etc",Umesh Amritlal Trivedi,Gujarat,Section 366,3,221,7,
29-01-2020,12-03-2021,"Abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office",Sangeeta Kamalsingh Vishen,Gujarat,Section 133,3,408,22,
01-01-2019,03-06-2019,Punishment for cheating,Anoop Chitkara,Punjab and Haryana,Section 417,1,153,9,
09-12-2019,27-01-2021,Cohabitation caused by a man deceitfully inducing a belief of lawful marriage,N. Nagaresh,Kerala,Section 493,2,415,12,
10-07-2017,01-12-2017,Being in possession of false weight or measure,Rajnish Bhatnagar,Delhi,Section 266,4,144,2,
05-08-2017,23-10-2018,Sentence of imprisonment for non-payment of fine,Vishal Dhagat,Madhya Pradesh,Section 64,2,444,6,
07-11-2018,16-10-2019,Act to which a person is compelled by threats,Saral Srivastava,Allahabad,Section 94,5,343,3,
28-10-2019,03-02-2021,Public servant unlawfully buying or bidding for property,Dixit Krishna Shripad,Karnataka,Section 169,1,464,16,
23-09-2017,27-10-2018,"Counterfeiting device or mark used for authenticating documents described in Section 467, or possessing counterfeit marked material",Ajit Kumar,Allahabad,Section 475,3,399,5,
03-09-2018,24-07-2019,Limit of solitary confinement,Paresh Ravishankar Upadhyay,Madras,Section 74,2,324,7,
02-09-2019,15-11-2020,Punishment for forgery,Karamjit Singh,Punjab and Haryana,Section 465,5,440,19,
28-03-2017,08-02-2018,Assisting in concealment of stolen property,N. Nirmal Kumar,Madras,Section 414,3,317,4,
31-01-2019,30-04-2019,Penalty for harbouring robbers or dacoits,Govinda Ananda Sanap,Bombay,Section 216A,3,89,8,
09-09-2019,15-07-2020,Same offence with concealment of former marriage from person with whom subsequent marriage is contracted,Syed Aftab Husain Rizvi,Allahabad,Section 495,1,310,13,
15-02-2019,12-01-2020,All persons jointly concerned in lurking house-trespass or house-breaking by night punishable where death or grievous hurt caused by one of them,Arvind Singh Sangwan,Punjab and Haryana,Section 460,5,331,13,
16-01-2020,10-03-2020,Having possession of instrument or material for counterfeiting Government stamp,Mohammed Nias Chovvakkaran Puthiyapurayil,Kerala,Section 256,3,54,7,
23-07-2019,08-04-2020,Possession of forged or counterfeit currency-notes or bank-notes,Sanjeev Narula,Delhi,Section 489C,1,260,13,
20-09-2019,04-03-2020,Disobedience to quarantine rule,Chander Bhusan,Himachal Pradesh,Section 271,5,166,13,
01-09-2018,05-12-2019,Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple,Sudhir Singh,Patna,Section 60,3,460,9,
18-07-2019,21-06-2020,Altering appearance of Indian coin with intent that it shall pass as coin of different description,Raj Mohan Singh,Punjab and Haryana,Section 249,4,339,13,
27-09-2018,18-12-2018,Making or selling instrument for counterfeiting Indian coin,R. Subramanian,Madras,Section 234,1,82,5,
21-07-2018,08-11-2019,Assault or criminal force in attempt to commit theft of property carried by a person,Anubha Rawat Choudhary,Jharkhand,Section 356,2,475,8,
01-09-2019,21-05-2020,"Assaulting or obstructing public servant when suppressing riot, etc",D. Bharatha Chakravarthy,Madras,Section 152,2,263,11,
13-07-2017,18-04-2018,Voluntarily causing hurt on provocation,P. T. Asha,Madras,Section 334,2,279,3,
21-06-2017,18-12-2017,"Forgery of valuable security, will, etc",Kumbhajadala Manmadha Rao,Andhra Pradesh,Section 467,5,180,5,
20-02-2017,06-01-2018,Making a false mark upon any receptacle containing goods,Ajit Kumar,Allahabad,Section 487,4,320,2,
17-02-2017,24-03-2017,"Forfeiture of property, in respect of offenders punishable with death, transportation or imprisonment",Dr. Bidyut Ranjan Sarangi,Orissa,Section 62,5,35,1,
05-03-2018,02-01-2019,Printing or engraving matter known to be defamatory,Subhasis Das Gupta,Calcutta,Section 501,4,303,5,
04-02-2018,31-05-2019,Rash driving or riding on a public way,Ajit Kumar,Allahabad,Section 279,2,481,11,
14-01-2020,27-12-2020,Using as genuine a forged document or electronic record,Bechu Kurian Thomas,Kerala,Section 471,2,348,16,
26-03-2017,28-05-2017,"Hiring, or conniving at hiring, of persons to join unlawful assembly",Asha Menon,Delhi,Section 150,5,63,1,
01-05-2017,22-02-2018,Sentence of Europeans and Americans to penal servitude,Chitta Ranjan Dash,Orissa,Section 56,4,297,4,
31-12-2019,20-01-2020,Amount of fine,Pankaj Bhandari,Rajasthan,Section 63,2,20,11,
09-06-2019,19-10-2020,Force,Bechu Kurian Thomas,Kerala,Section 349,3,498,15,
25-09-2018,29-10-2019,Definition of appropriate Government,Bibhas Ranjan De,Calcutta,Section 55A,1,399,15,
08-06-2019,17-05-2020,"Putting person in fear of accusation of offence, in order to commit extortion",Kandasamy Kalyanasundaram,Madras,Section 389,4,344,19,
19-07-2019,29-04-2020,Making or possession of any instrument for counterfeiting a property mark,Rabindranath Samanta,Calcutta,Section 485,4,285,20,
14-12-2018,03-04-2020,Breach of contract of service during voyage or journey,R. Hemalatha,Madras,Section 490,1,476,12,
09-06-2017,11-11-2017,Affray,Manish Kumar,Allahabad,Section 159,4,155,3,
27-06-2019,25-07-2019,"Mischief by destroying, moving or rendering less useful a light-house or sea-mark",Pankaj Jain,Punjab and Haryana,Section 433,1,28,4,
18-05-2019,09-06-2019,Making or selling instrument for counterfeiting Indian coin,Sunita Yadav,Madhya Pradesh,Section 234,5,22,10,
12-11-2019,04-10-2020,Public servant farming an incorrect document with intent to cause injury,Sarasa Venkatanarayana Bhatti,Kerala,Section 167,3,327,19,
16-02-2020,06-11-2020,"Exposure and abandonment of child under twelve years, by parent or person having care of it",Pondicherry Daivasigamani Audikesavalu,Madras,Section 317,1,264,14,
22-01-2017,27-04-2017,"Abetment of such assault, if the assault is committed",Ali Zamin,Allahabad,Section 134,1,95,3,
04-12-2017,01-01-2018,"Abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty",Sameer Jain,Allahabad,Section 131,1,28,5,
18-07-2018,23-08-2019,Intentional omission to apprehend on the part of public servant bound to apprehend,Harsimran Singh Sethi,Punjab and Haryana,Section 221,1,401,7,
18-02-2018,30-07-2018,Kidnapping from lawful guardianship,Shampa Sarkar,Calcutta,Section 361,5,162,6,
13-04-2018,30-07-2018,Kidnapping or abducting in order to murder,Harnaresh Singh Gill,Punjab and Haryana,Section 364,1,108,5,
09-07-2017,17-05-2018,"Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc, and doing acts prejudicial to maintenance of harmony",Madhav Jayajirao Jamdar,Bombay,Section 153A,1,312,3,
01-01-2020,13-04-2021,Consent known to be given under fear or misconception,Rajeev Kumar Shrivastava,Madhya Pradesh,Section 90,4,468,20,
24-09-2017,25-07-2018,Punishment for voluntarily causing hurt,Manoj Kumar Tiwari,Uttarakhand,Section 323,3,304,6,
11-08-2019,31-08-2020,Causing miscarriage without woman’s consent,Rajiv Shakdher,Delhi,Section 313,1,386,8,
02-08-2019,15-06-2020,Cohabitation caused by a man deceitfully inducing a belief of lawful marriage,Devan Ramachandran,Kerala,Section 493,3,318,14,
15-03-2017,13-05-2018,Disobedience to order duly promulgated by public servant,Abhijit Gangopadhyay,Calcutta,Section 188,5,424,3,
22-09-2017,03-12-2018,Public servant voluntary allowing prisoner of State or war to escape,Parth Prateem Sahu,Chhattisgarh,Section 128,5,437,6,
04-10-2017,16-06-2018,Voluntarily causing grievous hurt to deter public servant from his duty,Jyoti Singh,Delhi,Section 333,3,255,6,
13-02-2020,09-12-2020,Wrongful confinement for three or more days,Milind Ramesh Phadke,Madhya Pradesh,Section 343,5,300,9,
08-03-2017,07-11-2017,Negligent conduct with respect to poisonous substance,Anjani Kumar Mishra,Allahabad,Section 284,3,244,4,
20-06-2019,16-02-2020,Right of private defence of the body and of property,Harish Tandon,Calcutta,Section 97,3,241,11,
21-11-2018,24-06-2019,"Act caused by inducing person to believe that he will be rendered an object of the Divine
displeasure",Subrata Talukdar,Calcutta,Section 508,2,215,7,
23-03-2020,14-10-2020,"Counterfeiting device or mark used for authenticating documents described in Section 467, or possessing counterfeit marked material",Avachat Rajendra Govind,Bombay,Section 475,2,205,16,
20-07-2019,15-08-2020,Threat of injury to induce person to refrain from applying for protection to public servant,Tirthankar Ghosh,Calcutta,Section 190,4,392,13,
22-06-2017,21-01-2018,Using a false property mark,Devendra Kumar Upadhyay,Allahabad,Section 481,2,213,3,
12-05-2018,02-06-2018,Rash driving or riding on a public way,Vikas Suri,Punjab and Haryana,Section 279,1,21,5,
18-10-2018,06-09-2019,Causing hurt by act endangering life or personal safety of others,Gurmeet Singh Sandhawalia,Punjab and Haryana,Section 337,2,323,7,
13-12-2019,12-03-2021,Furnishing false information,Nawneet Kumar Pandey,Patna,Section 177,4,455,22,
13-08-2019,21-04-2020,"False information, with intent to cause public servant to use his lawful power to the injury of another person",Kandasamy Kalyanasundaram,Madras,Section 182,4,252,18,
13-12-2017,23-03-2019,Hurt,Ramesh Sinha,Allahabad,Section 319,3,465,9,
09-01-2018,28-09-2018,Altering appearance of coin with intent that it shall pass as coin of different description,Ponugoti Naveen Rao,Telangana,Section 248,3,262,7,
